,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32
2,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
3,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.7595789473684211,1.7591578947368423,1.7587368421052634,1.7583157894736845,1.7578947368421056,1.7574736842105267,1.7570526315789479,1.756631578947369,1.75621052631579,1.7557894736842112,1.7553684210526324,1.7549473684210535,1.7545263157894746,1.7541052631578957,1.7536842105263168,1.753263157894738,1.7529464317770094
