,0
0,32.807942278026516
1,49.70160858229899
2,49.990899741035186
3,32.69404580409213
4,36.04695543771164
5,31.608351077222668
6,46.50549467646288
7,26.762580542493897
8,19.850276013983507
9,10.480756449089366
10,26.436672413447337
11,20.822740812216136
12,19.27095531901496
13,32.41738681031832
14,1.2361336748278982
15,32.5456898705089
16,34.46837123272081
17,46.16607790825497
18,44.131161819454924
19,50.01794472696909
20,44.75830311223237
21,42.84872120876843
22,43.326580518387196
23,37.4318680512002
