,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.5061133873433037
6,1.441124316666661
7,3.3940619528067897
8,5.741970126216007
9,7.572848065031749
10,8.760713847844865
11,9.415491926402858
12,9.374454204435278
13,8.62090358396352
14,7.445236692444788
15,5.628980657232887
16,3.165882870505773
17,1.326730008607257
18,0.4676517757804593
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,30.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,30.0
33,0.0
34,0.0
35,30.0
36,30.0
37,30.0
38,30.0
39,30.0
40,30.0
41,30.0
42,30.0
43,30.0
44,30.0
45,30.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,10.0
56,0.0
57,0.0
58,10.0
59,10.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,10.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.2530566936716568
78,0.720562158333329
79,1.6970309764033984
80,2.8709850631079923
81,3.786424032515879
82,4.380356923922431
83,4.70774596320143
84,4.68722710221764
85,4.310451791981758
86,3.722618346222395
87,2.814490328616437
88,1.5829414352528839
89,0.6633650043036289
90,0.23382588789023198
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.1265283468358261
102,0.3602810791666656
103,0.8485154882016951
104,1.435492531553995
105,1.893212016257939
106,2.1901784619612172
107,2.3538729816007193
108,2.3436135511088194
109,2.1552258959908737
110,1.861309173111193
111,1.4072451643082189
112,0.7914707176264455
113,0.33168250215180906
114,0.11691294394511077
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.4555020486089775
126,1.2970118849999994
127,3.0546557575261093
128,5.167773113594406
129,6.815563258528564
130,7.8846424630603895
131,8.473942733762568
132,8.43700878399175
133,7.758813225567166
134,6.7007130232002945
135,5.066082591509597
136,2.8492945834551926
137,1.1940570077465298
138,0.42088659820241225
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0759170081014966
150,0.21616864749999462
151,0.5091092929210184
152,0.8612955189323952
153,1.1359272097547572
154,1.3141070771767283
155,1.4123237889604128
156,1.406168130665289
157,1.293135537594527
158,1.1167855038667163
159,0.8443470985849331
160,0.4748824305758646
161,0.1990095012910887
162,0.0701477663670644
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,1.2323475573339238e-14
174,9.103828801926284e-15
175,4.440892098500626e-16
176,3.552713678800501e-15
177,8.881784197001252e-16
178,5.329070518200751e-15
179,1.7763568394002505e-15
180,1.7763568394002505e-15
181,0.0
182,1.7763568394002505e-15
183,2.6645352591003757e-15
184,7.105427357601002e-15
185,2.886579864025407e-15
186,3.7192471324942744e-15
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,1.2212453270876722e-15
246,3.9968028886505635e-15
247,1.5543122344752192e-15
248,7.549516567451064e-15
249,8.881784197001252e-16
250,8.881784197001252e-15
251,0.0
252,0.0
253,1.7763568394002505e-15
254,4.884981308350689e-15
255,1.3322676295501878e-14
256,6.217248937900877e-15
257,1.1102230246251565e-16
258,2.7755575615628914e-17
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,2.914335439641036e-15
270,1.4432899320127035e-15
271,2.886579864025407e-15
272,4.884981308350689e-15
273,1.1102230246251565e-15
274,2.6645352591003757e-15
275,4.440892098500626e-16
276,4.440892098500626e-16
277,6.217248937900877e-15
278,6.8833827526759706e-15
279,1.1102230246251565e-15
280,5.551115123125783e-16
281,4.9404924595819466e-15
282,5.23192600354605e-15
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,6.5503158452884236e-15
294,6.661338147750939e-16
295,8.881784197001252e-16
296,3.552713678800501e-15
297,6.217248937900877e-15
298,8.881784197001252e-16
299,1.7763568394002505e-15
300,0.0
301,4.440892098500626e-15
302,1.509903313490213e-14
303,3.552713678800501e-15
304,7.549516567451064e-15
305,2.220446049250313e-16
306,4.718447854656915e-15
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,8.049116928532385e-16
318,5.384581669432009e-15
319,6.661338147750939e-16
320,6.772360450213455e-15
321,2.6645352591003757e-15
322,1.7763568394002505e-15
323,1.7319479184152442e-14
324,1.1102230246251565e-15
325,2.886579864025407e-15
326,3.774758283725532e-15
327,8.881784197001252e-16
328,2.3869795029440866e-15
329,3.0531133177191805e-16
330,5.093148125467906e-15
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,49.99995229107149
337,26.1767666184208
338,49.99999750480244
339,47.03682474999975
340,43.84409117499988
341,43.76360984035903
342,47.11966091333309
343,43.919210500561924
344,29.80952701501615
345,42.86869378633202
346,45.06866882603418
347,23.484710974492792
348,33.56954041990858
349,32.796038083323175
350,33.2472601295752
351,44.072191346589754
352,49.99999999972478
353,49.99938556547963
354,49.99999997797805
355,49.99999924282384
356,49.99999993863685
357,48.62232632499986
358,49.999999981939226
359,49.99999688135701
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.06917239056319403
385,3.1409207291100517e-16
386,0.11944135049210632
387,3.4815400103181907e-14
388,6.689015758617651e-14
389,7.946766235617607e-14
390,9.829518163497897e-15
391,1.5074063411778917e-14
392,3.4582764249577097e-15
393,3.114530899619715e-14
394,4.925056421584723e-14
395,1.2118194182294528e-14
396,1.2160024282152878e-14
397,4.585990619640879e-15
398,1.1006889970811585e-13
399,9.341889490939221e-15
400,1.614042680514998
