,objFn_best,objFn_avg
0,4379.06523735558,171139.00988530493
1,4379.06523735558,94547.41619383593
2,4197.018577761263,57823.849398432576
3,4197.018577761263,41114.01475313241
4,4120.066121076167,17756.58967956873
5,3960.0996730429174,4422.576231362948
6,3960.0996730429174,4360.9324588409945
7,3960.0996730429174,4328.931876167838
8,3960.0996730429174,4282.217645053035
9,3960.0996730429174,4253.513184207168
10,3960.0996730429174,4221.1232933047695
11,3960.0996730429174,4158.942334624709
12,3916.179957599846,4101.927454428814
13,3916.179957599846,4072.1436256709135
14,3916.179957599846,4042.413340280243
15,3771.9926327396033,3995.3715327202954
16,3730.109457508793,3966.2095259485077
17,3730.109457508793,3935.4092161042295
18,3692.288305582237,3879.696866524105
19,3671.0445675394058,3828.5953999224525
20,3571.0460644787363,3774.490672805892
21,3571.0460644787363,3745.6763360396685
22,3554.725306644702,3727.4461566708064
23,3554.725306644702,3697.455136718826
24,3554.725306644702,3678.274711124507
25,3505.120468342604,3658.712506019259
26,3505.120468342604,3639.637314293169
27,3433.58531111559,3608.5802768332496
28,3402.60041479211,3584.0173982347483
29,3256.5884844152824,3539.441336486504
30,3256.5884844152824,3500.013165404942
31,3243.0958778996983,3436.274422992217
32,3217.372157590824,3390.830886865814
33,3126.379331553487,3360.1321796084644
34,3072.8607100663517,3301.341484043303
35,3072.8607100663517,3252.2326047190936
36,3021.772688893709,3190.859346633128
37,2951.4948364830916,3143.9767626972957
38,2951.4948364830916,3114.3700075759784
39,2922.162780806755,3060.5851519838093
40,2892.9012346553773,3016.971333215592
41,2892.9012346553773,2987.922850976225
42,2892.9012346553773,2968.776152182574
43,2884.2571844360755,2942.5833955106355
44,2832.024560979069,2919.3051635250795
45,2815.9677087519235,2901.529527291366
46,2815.9677087519235,2888.6754235347644
47,2785.4711288323742,2871.222606289402
48,2785.4711288323742,2858.0201333480927
49,2761.5015982080486,2841.914566139281
50,2733.014137093884,2824.3860654794403
51,2701.409364290476,2801.441293463543
52,2701.409364290476,2778.431496938084
53,2669.0958155678945,2752.197077321743
54,2669.0958155678945,2736.6894586052645
55,2620.833097658968,2720.789014402867
56,2620.833097658968,2694.030492221024
57,2495.7695701472594,2674.835139828744
58,2495.7695701472594,2652.757568923122
59,2469.7587254549385,2625.5893447754447
60,2469.7587254549385,2606.8498218017967
61,2447.2708756748157,2571.118903877769
62,2435.8460174860875,2548.294315925529
63,2412.5141143291994,2513.033198755462
64,2412.5141143291994,2485.2562684435043
65,2412.5141143291994,2462.398634067731
66,2401.6441951509923,2448.0450901412814
67,2401.6441951509923,2437.119298151873
68,2389.3155604636186,2421.957148859712
69,2368.4408096395673,2413.290331749944
70,2353.9679214290095,2402.635374607221
71,2353.9679214290095,2392.100043477917
72,2348.739916567738,2381.299569398558
73,2339.0040450359925,2370.819397442989
74,2332.9911794914697,2364.2748058318853
75,2287.380756009271,2355.3584677214894
76,2287.380756009271,2346.907262926052
77,2287.380756009271,2337.391253303652
78,2287.380756009271,2332.376525401102
79,2287.380756009271,2323.7441330692554
80,2284.740319250083,2317.43778035872
81,2271.5470733611546,2307.3042076605416
82,2267.7546927631347,2299.1451827557166
83,2244.3149093416846,2293.501215108598
84,2244.3149093416846,2289.5484098802576
85,2241.9628529444776,2276.6875507678424
86,2241.9628529444776,2269.1038641741816
87,2241.9628529444776,2262.9306333993327
88,2218.1193245044797,2254.6454661878333
89,2218.1193245044797,2250.40634250453
90,2214.4068486019823,2243.825276684778
91,2214.4068486019823,2236.0024815223
92,2201.2343610184394,2230.04678119396
93,2188.354360311001,2219.1677826196537
94,2182.0657127691316,2213.953183068945
95,2174.980861575212,2206.8725100800416
96,2160.8352617735104,2194.395002288804
97,2159.059531628829,2185.7498564338366
98,2154.4217254679143,2178.1193244598053
99,2153.674680082696,2174.0476009073614
100,2125.2566151812725,2165.414820322397
101,2118.1170200911,2158.750146524708
102,2112.4040591567987,2145.7199471905365
103,2095.4160977180077,2134.067209045558
104,2095.4160977180077,2127.045593433778
105,2093.1575732196393,2116.5022827429516
106,2093.1575732196393,2112.547326982757
107,2051.8748167564263,2101.269652202172
108,2051.8748167564263,2095.780849981566
109,2047.2230907029566,2091.2212801697788
110,2039.882699346317,2082.6544358415977
111,2039.882699346317,2073.4582998742876
112,2026.4168483448236,2066.5405459802996
113,2017.6664195994158,2061.1874855303677
114,2017.6664195994158,2055.4000697697966
115,1998.6729048987404,2045.9112507554025
116,1998.6729048987404,2043.7055356617932
117,1998.6729048987404,2037.6394187910257
118,1969.204408023091,2028.5220235728755
119,1966.6194552080221,2017.0790574121795
120,1966.6194552080221,2010.2795233308975
121,1941.8817965606465,2003.7138815720557
122,1893.9861099694288,1988.983672202736
123,1893.9861099694288,1979.6897512144274
124,1883.2497509375637,1960.7832019580076
125,1883.2497509375637,1950.0124900693604
126,1881.5087369842845,1944.0554603988282
127,1881.5087369842845,1935.8302045815044
128,1880.7507312263651,1926.7210199865594
129,1880.7507312263651,1921.159835184579
130,1880.7507312263651,1918.3184950355492
131,1870.9727099273193,1902.7737738091112
132,1870.9727099273193,1900.1078541363802
133,1870.9727099273193,1890.0155882771473
134,1854.6187030271012,1884.2197849238753
135,1853.1052085313713,1880.6467698472654
136,1853.1052085313713,1877.521523159035
137,1853.1052085313713,1875.0017132173011
138,1829.348691715144,1868.0637809940324
139,1829.348691715144,1861.2864488248722
140,1771.0585328283246,1855.3788344716045
141,1755.1059073896693,1842.9390967624684
142,1755.1059073896693,1839.8065723188838
143,1755.1059073896693,1828.5461271360086
144,1742.4136452132684,1816.198616331634
145,1742.4136452132684,1801.2390610000755
146,1742.4136452132684,1787.769885220102
147,1694.3385488968338,1774.0698916247793
148,1694.3385488968338,1763.9159821154249
149,1694.3385488968338,1751.6710613072057
150,1694.3385488968338,1747.1116656673516
151,1694.3385488968338,1740.381152236318
152,1685.5880435214751,1733.1084111368866
153,1682.9312547582344,1725.5692718529488
154,1679.574792374403,1716.80311029333
155,1679.574792374403,1708.472431454849
156,1668.2662547489267,1698.3222184246129
157,1661.9016009386721,1691.321073945332
158,1657.121910830348,1680.707951584892
159,1657.121910830348,1676.8696162248602
160,1654.490175980748,1670.4252617674224
161,1645.9002325145075,1662.9687839390533
162,1645.9002325145075,1660.3330580823754
163,1644.4403656825898,1657.9897356596266
164,1637.1498451144876,1654.896296954049
165,1630.1079072270431,1649.514466294316
166,1630.0230424895346,1644.6513605297075
167,1627.182488952245,1639.5527663912776
168,1625.8745042243481,1635.4071458315104
169,1616.3329428501847,1631.4533890482521
170,1616.1309832127683,1626.8614680042099
171,1609.848172030868,1622.7397487416497
172,1602.4673695359754,1619.326046733945
173,1595.1680771773802,1615.553330414371
174,1595.1680771773802,1611.411771638225
175,1588.6040998629926,1607.9763587579682
176,1588.6040998629926,1605.3012879486134
177,1588.6040998629926,1602.5969725529174
178,1586.5116205166491,1599.3419451220807
179,1585.613768745467,1594.3797881261896
180,1585.613768745467,1591.997620429872
181,1583.6646590504006,1588.787438234745
182,1576.3053108515385,1586.59002016077
183,1576.3053108515385,1585.3806289859276
184,1574.1459781506903,1583.7271399424192
185,1571.3527840577021,1581.3237256047412
186,1567.4822475800843,1579.1494249331042
187,1567.4822475800843,1577.4203751768812
188,1567.4822475800843,1574.9878770971834
189,1565.0006364152855,1573.894883696897
190,1564.3976194570814,1571.59300922775
191,1561.8889890894213,1569.9207565114714
192,1559.5673108118494,1567.0080394770844
193,1554.3793071288803,1565.154786325803
194,1554.3793071288803,1563.4176543158806
195,1550.6737788837656,1560.6738916934742
196,1549.6296760832981,1557.9094656749862
197,1538.263160776049,1555.4903844183727
198,1529.7471055284464,1551.0401109909728
199,1525.4123539332213,1546.094463335071
200,1518.8021866682652,1540.740636774673
201,1515.912423553468,1535.9983993020132
202,1515.912423553468,1530.8544961047016
203,1512.7932541010528,1525.0953163876993
204,1504.981675153208,1519.914024447792
205,1501.5145243952147,1516.2664145253052
206,1501.5145243952147,1514.479762641379
207,1499.041723124903,1511.2027020151124
208,1499.041723124903,1507.8368368838107
209,1489.7022536935078,1504.17773022917
210,1489.7022536935078,1502.7244439673607
211,1489.7022536935078,1499.8890271234743
212,1475.1456917320982,1495.1588640885977
213,1475.1456917320982,1491.5040065718
214,1472.1672277688433,1488.4006351234943
215,1469.643403996481,1485.145342432832
216,1468.968513218842,1480.7797217812658
217,1463.9576233695416,1475.680719648539
218,1462.8112100074788,1472.3085521311732
219,1460.3361225650326,1469.7120430562745
220,1455.2763292550846,1466.5603738271732
221,1453.6142847544031,1464.3874600325462
222,1453.6142847544031,1462.062389297351
223,1453.6142847544031,1459.190742833059
224,1448.8050951382702,1457.2813381896087
225,1447.7849824311347,1454.6338740130718
226,1442.4974826332439,1452.1254866509594
227,1436.290758713714,1448.7223840838199
228,1433.4483462213748,1446.2767078082577
229,1431.4791646582635,1444.5619917749796
230,1425.4758256087632,1439.1836901997308
231,1424.5375880805022,1436.9475275605848
232,1424.3040732784566,1435.097913976168
233,1419.187691575103,1432.3761246779027
234,1419.187691575103,1430.8713333708379
235,1419.187691575103,1429.700012202791
236,1415.1076454056335,1426.730734559211
237,1415.1076454056335,1423.6147624599462
238,1397.0082127574963,1419.6517147896507
239,1396.0255664646795,1415.578797492798
240,1396.0255664646795,1413.1706558918274
241,1394.930908153902,1409.4298161546124
242,1394.4429860499927,1406.3263973155022
243,1393.2160346147175,1403.0541188668915
244,1393.2160346147175,1400.5358871431592
245,1392.5611800211302,1398.2313302148823
246,1390.6240233131214,1396.2186841434086
247,1387.8526728697534,1394.66818038706
248,1385.543466415583,1392.631342402187
249,1385.543466415583,1390.8593268048307
250,1383.2293125837052,1389.013265650974
251,1381.6991483161582,1387.50962514884
252,1380.1803382593905,1385.686133134283
253,1379.4561457143177,1384.578483364916
254,1379.4561457143177,1383.5169709129984
255,1378.456022528332,1382.3945063908748
256,1372.8393970061193,1380.4861012441029
257,1369.3457682769415,1378.2810625314344
258,1367.419253531212,1375.482081709665
259,1364.9996383267414,1373.051450350366
260,1357.101558627194,1370.0937995001173
261,1357.101558627194,1367.646947359022
262,1354.0175395113363,1365.488762533078
263,1352.9546665904752,1362.833782055295
264,1352.9546665904752,1361.1531496052405
265,1344.0695506401976,1357.9426311126663
266,1344.0695506401976,1355.4453834648525
267,1336.8490375220754,1352.3118656502559
268,1336.8490375220754,1350.368900412377
269,1330.300300798419,1346.8952566845558
270,1330.300300798419,1343.7584077192212
271,1324.3177143450314,1340.2929532300257
272,1320.7399620187825,1336.362646201595
273,1318.5434454851156,1333.1112360432937
274,1316.2963326055844,1329.211651713545
275,1310.00602429669,1324.6405286891002
276,1310.00602429669,1320.4101213357562
277,1309.8640792221724,1318.1223822765267
278,1308.7086435035117,1315.8228222365392
279,1301.1777421605973,1313.436987503577
280,1301.1777421605973,1310.863208431007
281,1299.651517270539,1309.0864558944006
282,1299.651517270539,1306.9250523527382
283,1298.941189449982,1304.1687734774482
284,1288.230093092264,1301.7492846317343
