run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.506113350361751,0.5010685915422828,0.506113387343316,0.4997287390150203,0.5060898595410319,0.505795620684727,0.5034311822609103,0.506113387343316,0.49887058950710916,0.506113387343316
1.4410185982951509,1.4194336648316115,1.44112431666667,1.4253851322324174,1.4405962907881533,1.44112431666667,1.4350708454232297,1.44112431666667,1.44112431666667,1.4402306046187323
3.39406195280679,3.372324822930845,3.3938805533916625,3.388299950195221,3.3939991065394146,3.392726983734459,3.3671931037529585,3.39406195280679,3.3939318683824693,3.394059155446537
5.74197012621601,5.731169063938616,5.74197012621601,5.739482836969937,5.74197012621601,5.737895536998804,5.730338848471188,5.737073116911709,5.739144444457374,5.74197012621601
7.572075005002595,7.57284806503175,7.57284806503175,7.564029362186872,7.57284806503175,7.572710305438738,7.346918221923554,7.571166465977891,7.545726716552659,7.5713857269369385
8.760042842310982,8.76071384784487,8.76071384784487,8.759202954942172,8.76071384784487,8.76071384784487,8.74537753386156,8.739063050834114,8.759831727067386,8.76071384784487
9.413770532247216,9.411857357055439,9.409626398042356,9.40523384184661,9.41549192640286,9.407551827843427,9.368604546817913,9.412411469538014,9.397080350240827,9.415272914189039
9.374296695316787,9.369467160485701,9.374133158480369,9.37445420443528,9.371279304269368,9.373885825664019,9.37445420443528,9.37445420443528,9.373816050475867,9.37445420443528
8.619127031268926,8.58395562927966,8.62090358396352,8.61876093737774,8.620603475209254,8.620450804456397,8.619284685602874,8.620021764877837,8.607916031072243,8.62085871934141
7.444975731724799,7.382710283417392,7.442530423774874,7.443466526462089,7.44523669244479,7.443677164517911,7.4393661323069145,7.44523669244479,7.444371838016815,7.44523669244479
5.62898065723289,5.6277506267208866,5.62898065723289,5.588782404100579,5.62836004558549,5.62898065723289,5.621109141618689,5.622910085225957,5.602034074044976,5.62898065723289
3.164398746926162,3.165333452332338,3.16588287050578,3.1514653010946416,3.16588287050578,3.16588287050578,3.16588287050578,3.16588287050578,3.165687469693975,3.1657415837342873
1.3267042750556706,1.32673000860726,1.32673000860726,1.2924388678974577,1.32673000860726,1.3267113042384044,1.3193543136997554,1.32673000860726,1.3042798183595519,1.3267295548615823
0.46753545453753453,0.467651775780463,0.4676039374133265,0.4527319569109343,0.46696168764843476,0.4659321908772419,0.4633782134201095,0.46732228192630487,0.4659817557969979,0.4673130055912903
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
