,0
0,49.9877060405686
1,18.38619776638561
2,26.020981291449996
3,45.845544407010095
4,16.37771908945426
5,13.714185884165925
6,46.67144210162748
7,49.99309691183123
8,28.65754062931808
9,23.479906003408317
10,33.658369487477884
11,21.296131591103926
12,21.75401347250783
13,20.608421426922828
14,30.370270313728778
15,41.43433058499914
16,48.32451598117369
17,46.57054141162172
18,49.96437483538675
19,49.99948200716129
20,48.545200630338286
21,42.925121674229295
22,47.393311818890055
23,38.22496739061448
