,0
0,0.008535434045550697
1,29.8995242603319
2,1.9146677577800977
3,29.98223250371862
4,0.11189792483063521
5,29.999976631044902
6,0.006068631184112485
7,0.5253919204531277
8,1.008592330033995
9,6.224829792040493e-05
10,0.00861934794046828
11,29.999983985109417
12,1.3925063272862483
13,28.801470732242883
14,29.934844489943988
15,0.027594684050678716
16,29.98829188888169
17,25.685209827230512
18,7.516323730677515
19,0.08014340130396375
20,29.999999999863576
21,29.623884898343636
22,26.293415425285488
23,0.18161924969564855
24,0.9400661427156796
25,22.547238640771543
26,29.694019727868877
27,0.021972829497005103
28,0.010615856412273361
29,29.99898245796808
30,2.8573056699500086
31,29.850347217289915
32,29.99945160577832
33,29.982525792548827
34,29.990234292457522
35,26.08273542397176
36,29.94724029603249
37,29.87459141559004
38,28.853863576627575
39,29.98846965261236
40,28.390355245938537
41,29.999999999999964
42,3.3005440353350843e-06
43,29.999999961278395
44,29.394547295373435
45,29.99982745240417
46,0.0011477540897183848
47,15.589362589276389
48,0.6623525724777133
49,4.386714502560894
50,1.6263769517279091e-09
51,29.999994165134467
52,29.629415657390147
53,0.018082385739706157
54,0.0001977302995106885
55,1.2220962395154686e-05
56,28.300239649740252
57,1.964404631604073
58,0.0006920233657333147
59,0.8821356283845085
60,8.316358955288793e-05
61,7.151902953819122
62,0.061472518713560895
63,29.37087107484136
64,0.009663061808458506
65,2.135512130608112
66,29.921010322224774
67,29.16969075989359
68,19.63070472311317
69,1.0528692693770467
70,23.994732347847474
71,29.99997879728214
72,8.487404191793912e-05
73,29.999999441596565
74,29.235119515445298
75,0.131790132536812
76,0.03774720129535003
77,29.99998780513126
78,2.044786374716622e-05
79,0.014725915226457754
80,13.222720898205408
81,9.649901083223543
82,0.09396517768811533
83,29.69510554784484
84,29.999972845318847
85,0.007292046946750453
86,0.0024469758246437423
87,29.98760452579902
88,0.08698962315538525
89,8.458832980502869e-10
90,29.999999982523605
91,0.0921840349253588
92,0.0003031297777655554
93,1.7395081232038057
94,0.12943636738374414
95,0.0006645835066745418
96,29.992184006175158
97,0.27883806269702416
98,0.06350133373956382
99,29.997435623123085
100,0.4306262043124215
101,0.3373922155202006
102,0.03846434305656139
103,0.2848572093543458
104,1.8170212817959449e-12
105,9.197623738366062
106,27.487384721474527
107,0.0015908916583950263
108,0.0033876419968552193
109,29.777482621748064
110,1.3102646739891228e-07
111,29.978321194314383
112,13.16623340537929
113,0.07458326651663513
114,2.4746855550782085e-07
115,29.08302103939431
116,29.65704709311072
117,11.793164665221813
118,22.74835546168633
119,0.0002461880018660267
120,29.95901744455645
121,1.6026802599451484
122,0.030962760369477024
123,22.866179416972777
124,27.562457645532177
125,1.7004210953523967e-06
126,29.999999883997223
127,1.059634895379462
128,29.91335992127614
129,1.2707852159854403e-08
130,29.999838975955694
131,29.999654694180023
132,0.00022611665427680304
133,0.0008377515652965364
134,0.050169866155830745
135,0.35009728575607946
136,8.729536014751867
137,29.999999999786063
138,29.997936894218164
139,0.2084171085524303
140,0.09251435779674486
141,26.54883967553031
142,29.354545662320298
143,29.95116233078511
144,15.002593385139544
145,29.99991866278599
146,5.2915064954395334e-09
147,29.995882490594653
148,29.855359115775915
149,29.998558574454744
150,3.3075511349749624
151,2.0841095532031512e-10
152,1.8835817659481724
153,0.01315527115976426
154,2.7032970250632405e-06
155,29.568081332500398
156,4.520825580188071
157,29.98908376963693
158,29.992447305889385
159,0.0012532882080606492
160,1.3829909130817541
161,0.7827845748740052
162,7.975326018443362e-06
163,0.014409353667287423
164,0.03382917801347329
165,5.20308856147356
166,0.00031640556177613117
167,29.99998687714006
168,4.086928978299113e-13
169,6.368798745713838e-12
170,7.029909791309141e-16
171,4.0374279973290274e-11
172,1.986996430018012e-12
173,1.6700395613450472e-15
174,1.9381189737477087e-13
175,1.0441961636529916e-13
176,6.745611043907113e-15
177,2.002394672016825e-18
178,2.4085833830431894e-12
179,6.731707819699285e-16
180,1.840690413955598e-11
181,2.8128440014604196e-15
182,3.2107107032868576e-14
183,4.572925258180926e-18
184,5.042264754607722e-14
185,2.9503065452966616e-15
186,1.0804155846769979e-13
187,3.3520431720259022e-15
188,4.28885531874129e-13
189,8.593516234036932e-15
190,1.9389021351079968e-13
191,3.097698768713736e-20
192,6.812688971498159e-17
193,3.02604154632521e-12
194,2.0069375005859995e-18
195,4.519592010636936e-14
196,1.5734540581851768e-13
197,2.801269337889311e-15
198,7.081451987054682e-15
199,2.129281123843804e-15
200,6.886138744269888e-11
201,9.613407074106787e-12
202,5.2722667014909584e-24
203,5.294934753122781e-10
204,1.6416724475309642e-14
205,2.1418009766757126e-12
206,2.202706203152533e-19
207,7.479770054695627e-13
208,3.309523280283748e-12
209,3.0788008227936134e-17
210,2.798387609373382e-11
211,6.645969902841708e-23
212,9.577621181409225e-16
213,4.322188072081607e-12
214,3.6873437698645386e-25
215,2.2696366528919155e-13
216,3.014926506066243e-11
217,1.3077827174001285e-14
218,3.609556503142285e-14
219,1.1008123414270334e-17
220,5.882234264174076e-14
221,9.620609424531438e-15
222,7.506027557515904e-19
223,1.542003685507195e-14
224,1.1455880698354718e-13
225,3.5193720426234816e-16
226,1.052145895375643e-16
227,7.983776367106329e-23
228,2.1174464794849926e-13
229,1.667500869666164e-14
230,1.749551600720053e-11
231,4.540089048752158e-18
232,1.3552286422684774e-12
233,3.750562800913926e-15
234,6.00301566450832e-19
235,9.633789672762586e-19
236,1.3146513790769721e-11
237,1.1061652236336243e-22
238,5.907819514626032e-13
239,4.7833434496028735e-15
240,1.0393531849013724e-22
241,1.3272046562966815e-12
242,1.7196279264017444e-14
243,2.0258893820455767e-11
244,1.9048903424908874e-16
245,4.71530074332745e-20
246,1.2981071198543328e-20
247,8.219384563537933e-18
248,7.911516786823312e-15
249,2.1057813576790556e-13
250,1.6059009605129776e-18
251,4.1243293363096156e-14
252,2.8119714267126154e-19
253,4.1438503485729534e-15
254,2.7153840019638507e-18
255,7.177765715980494e-12
256,3.1928588466398314e-17
257,7.519779681367584e-18
258,7.796221604333421e-14
259,3.229988505127157e-12
260,9.395865308517966e-12
261,3.7438237853922553e-16
262,3.7975565569817015e-20
263,4.012737265452872e-14
264,1.4899299494706935e-12
265,9.000064148254962e-14
266,5.791555694231208e-12
267,2.0919280026380547e-18
268,1.2924229244378866e-15
269,9.41308931903456e-16
270,2.2021268685879196e-13
271,1.6479970892323988e-13
272,2.6108952452557225e-16
273,5.8929354961510225e-16
274,1.5098209379231925e-14
275,8.688712132229397e-13
276,2.748321480237877e-12
277,5.280354248229066e-19
278,1.9424668319746334e-16
279,5.774700711107069e-15
280,1.494517311071077e-09
281,6.614257194511545e-20
282,1.2249543144004698e-21
283,8.097682257061993e-12
284,8.099084494563545e-15
285,6.851159288529683e-15
286,3.365410934606174e-11
287,2.0730942813540437e-11
288,2.3808601550091086e-13
